1,Jon Yang,55,Senior Citizen,VIP,28,3,8249,8,8,2013-05-03,2749,294,152
2,Eugene Huang,50,Mature,VIP,35,3,6384,11,10,2013-12-10,2128,182,145
3,Ruben Torres,55,Senior Citizen,VIP,25,3,8114,4,4,2013-02-23,2704,324,155
4,Christy Zhu,53,Senior Citizen,VIP,29,3,8139,9,9,2013-05-10,2713,280,152
5,Elizabeth Johnson,47,Mature,VIP,28,3,8196,6,6,2013-05-01,2732,292,152
6,Julio Ruiz,50,Mature,VIP,29,3,8121,6,6,2013-05-02,2707,280,152
7,Janet Alvarez,50,Mature,VIP,28,3,8119,5,5,2013-05-14,2706,289,152
8,Marco Mehta,57,Senior Citizen,VIP,26,3,8211,8,8,2013-03-19,2737,315,154
9,Rob Verhoff,51,Senior Citizen,VIP,26,3,8106,7,7,2013-03-02,2702,311,154
10,Shannon Carlson,57,Senior Citizen,VIP,28,3,8091,5,5,2013-05-09,2697,288,152
11,Jacquelyn Suarez,57,Senior Citizen,VIP,28,3,8088,4,4,2013-05-23,2696,288,152
12,Curtis Lu,57,Senior Citizen,VIP,27,3,8133,4,4,2013-03-19,2711,301,154
13,Lauren Walker,47,Mature,NEW,7,2,81,5,5,2013-10-15,40,11,147
14,Ian Jenkins,47,Mature,NEW,9,2,114,5,5,2014-01-21,57,12,144
15,Sydney Bennett,53,Senior Citizen,NEW,1,2,138,6,5,2013-04-30,69,138,153
16,Chloe Young,42,Mature,NEW,0,1,2501,3,3,2013-01-18,2501,2501,156
17,Wyatt Hill,42,Mature,NEW,0,1,2332,3,3,2013-02-09,2332,2332,155
18,Shannon Wang,77,Senior Citizen,VIP,33,3,6434,4,4,2013-10-14,2144,194,147
19,Clarence Rai,71,Senior Citizen,VIP,33,3,6533,7,7,2013-10-24,2177,197,147
20,Luke Lal,43,Mature,NEW,11,17,880,33,20,2014-01-12,51,80,144
21,Jordan King,42,Mature,NEW,0,1,2317,2,2,2012-12-29,2317,2317,157
22,Destiny Wilson,42,Mature,NEW,0,1,2372,3,3,2013-01-23,2372,2372,156
23,Ethan Zhang,42,Mature,NEW,0,1,2322,2,2,2013-01-20,2322,2322,156
24,Seth Edwards,42,Mature,NEW,11,2,122,6,6,2014-01-14,61,11,144
25,Russell Xie,42,Mature,NEW,1,2,56,6,5,2013-07-26,28,56,150
26,Alejandro Beck,75,Senior Citizen,VIP,33,3,6577,6,6,2013-10-25,2192,199,147
27,Harold Sai,75,Senior Citizen,VIP,33,3,6575,7,7,2013-10-15,2191,199,147
28,Jessie Zhao,74,Senior Citizen,VIP,33,3,6591,9,9,2013-10-24,2197,199,147
29,Jill Jimenez,75,Senior Citizen,VIP,33,3,6474,5,5,2013-10-07,2158,196,147
30,Jimmy Moreno,74,Senior Citizen,VIP,34,3,6565,7,7,2013-11-11,2188,193,146
31,Bethany Yuan,68,Senior Citizen,VIP,33,3,6471,4,4,2013-11-09,2157,196,146
32,Theresa Ramos,73,Senior Citizen,VIP,33,3,6478,6,6,2013-11-13,2159,196,146
33,Denise Stone,74,Senior Citizen,VIP,33,3,6525,10,10,2013-11-08,2175,197,146
34,Jaime Nath,68,Senior Citizen,VIP,33,3,6495,7,7,2013-11-05,2165,196,146
35,Ebony Gonzalez,74,Senior Citizen,VIP,33,3,6491,4,4,2013-11-10,2163,196,146
36,Wendy Dominguez,73,Senior Citizen,VIP,33,3,6451,5,5,2013-11-15,2150,195,146
37,Jennifer Russell,42,Mature,NEW,0,1,2355,2,2,2013-01-22,2355,2355,156
38,Chloe Garcia,43,Mature,NEW,0,1,2374,7,7,2013-01-20,2374,2374,156
39,Diana Hernandez,73,Senior Citizen,VIP,33,3,6437,3,3,2013-11-12,2145,195,146
40,Marc Martin,72,Senior Citizen,VIP,33,3,6636,9,8,2013-11-11,2212,201,146
41,Jesse Murphy,43,Mature,NEW,0,1,2351,3,3,2013-04-03,2351,2351,153
42,Amanda Carter,43,Mature,NEW,0,1,2381,3,3,2013-01-14,2381,2381,156
43,Megan Sanchez,44,Mature,NEW,9,2,3112,3,3,2013-10-17,1556,345,147
44,Nathan Simmons,45,Mature,NEW,3,2,48,3,3,2013-08-18,24,16,149
45,Adam Flores,72,Senior Citizen,VIP,33,3,6515,7,7,2013-11-08,2171,197,146
46,Leonard Nara,71,Senior Citizen,NEW,6,2,115,4,4,2013-10-29,57,19,147
47,Christine Yuan,71,Senior Citizen,VIP,33,3,6616,6,6,2013-11-12,2205,200,146
48,Jaclyn Lu,71,Senior Citizen,VIP,33,3,6582,4,4,2013-11-19,2194,199,146
49,Jeremy Powell,70,Senior Citizen,VIP,34,3,6498,8,8,2013-12-25,2166,191,145
50,Carol Rai,40,Mature,NEW,7,2,81,5,5,2013-10-29,40,11,147
51,Alan Zheng,69,Senior Citizen,VIP,33,3,5007,6,6,2013-11-19,1669,151,146
52,Daniel Johnson,69,Senior Citizen,NEW,1,2,124,5,5,2014-01-01,62,124,144
53,Heidi Lopez,69,Senior Citizen,VIP,27,3,8131,7,7,2013-05-27,2710,301,152
54,Ana Price,40,Mature,NEW,0,1,2330,2,2,2013-01-17,2330,2330,156
55,Deanna Munoz,69,Senior Citizen,VIP,27,3,8223,6,6,2013-05-30,2741,304,152
56,Gilbert Raje,69,Senior Citizen,VIP,29,3,8168,8,8,2013-06-07,2722,281,151
57,Michele Nath,68,Senior Citizen,VIP,27,3,8207,8,8,2013-05-31,2735,303,152
58,Carl Andersen,56,Senior Citizen,VIP,27,3,8088,4,4,2013-05-21,2696,299,152
59,Marc Diaz,61,Senior Citizen,VIP,27,3,8248,6,6,2013-06-04,2749,305,151
60,Ashlee Andersen,67,Senior Citizen,NEW,1,3,117,7,6,2013-03-16,39,117,154
61,Jon Zhou,67,Senior Citizen,VIP,27,3,8153,6,6,2013-06-25,2717,301,151
62,Todd Gao,50,Mature,VIP,27,3,8129,6,6,2013-06-14,2709,301,151
63,Noah Powell,45,Mature,NEW,0,1,2352,3,3,2013-01-07,2352,2352,156
64,Angela Murphy,46,Mature,NEW,0,1,2373,5,5,2013-01-12,2373,2373,156
65,Chase Reed,45,Mature,NEW,0,1,2305,2,2,2013-01-25,2305,2305,156
66,Jessica Henderson,47,Mature,NEW,11,2,202,5,4,2014-01-10,101,18,144
67,Grace Butler,47,Mature,NEW,4,2,81,5,5,2013-09-19,40,20,148
68,Caleb Carter,44,Mature,NEW,5,2,105,6,6,2014-01-12,52,21,144
69,Tiffany Liang,60,Senior Citizen,NEW,6,3,113,9,8,2013-10-08,37,18,147
70,Carolyn Navarro,60,Senior Citizen,VIP,26,3,8104,3,3,2013-06-04,2701,311,151
71,Willie Raji,66,Senior Citizen,VIP,26,3,8165,10,9,2013-06-26,2721,314,151
72,Linda Serrano,66,Senior Citizen,NEW,9,3,110,7,6,2013-12-01,36,12,145
73,Casey Luo,66,Senior Citizen,VIP,27,3,8194,7,7,2013-06-15,2731,303,151
74,Amy Ye,64,Senior Citizen,NEW,5,3,192,10,9,2013-08-21,64,38,149
75,Levi Arun,64,Senior Citizen,NEW,2,3,94,7,7,2013-05-27,31,47,152
76,Felicia Jimenez,63,Senior Citizen,VIP,26,3,8068,5,5,2013-06-24,2689,310,151
77,Blake Anderson,63,Senior Citizen,VIP,26,3,8159,4,4,2013-06-21,2719,313,151
78,Leah Ye,63,Senior Citizen,VIP,26,3,8169,5,5,2013-06-12,2723,314,151
79,Gina Martin,41,Mature,NEW,11,17,912,31,23,2014-01-28,53,82,144
80,Donald Gonzalez,56,Senior Citizen,NEW,10,3,58,5,5,2014-01-01,19,5,144
81,Damien Chander,61,Senior Citizen,VIP,26,3,8204,7,7,2013-06-23,2734,315,151
82,Savannah Baker,54,Senior Citizen,NEW,2,2,104,5,5,2013-04-13,52,52,153
83,Angela Butler,54,Senior Citizen,NEW,10,2,3110,6,6,2013-11-06,1555,311,146
84,Alyssa Cox,49,Mature,NEW,10,2,3137,5,5,2013-11-08,1568,313,146
85,Lucas Phillips,63,Senior Citizen,NEW,10,2,3078,5,5,2013-11-21,1539,307,146
86,Emily Johnson,63,Senior Citizen,NEW,1,2,129,5,5,2014-01-08,64,129,144
87,Ryan Brown,63,Senior Citizen,NEW,5,2,153,6,6,2013-12-21,76,30,145
88,Tamara Liang,63,Senior Citizen,NEW,6,2,200,4,4,2013-08-09,100,33,149
89,Hunter Davis,63,Senior Citizen,NEW,10,2,3176,7,7,2013-11-12,1588,317,146
90,Abigail Price,64,Senior Citizen,NEW,11,2,3188,7,7,2013-11-18,1594,289,146
91,Trevor Bryant,58,Senior Citizen,VIP,27,3,6703,6,6,2013-11-21,2234,248,146
92,Dalton Perez,64,Senior Citizen,REGULAR,12,28,1186,59,25,2014-01-08,42,98,144
93,Cheryl Diaz,54,Senior Citizen,VIP,26,3,8110,5,5,2013-06-21,2703,311,151
94,Aimee He,48,Mature,VIP,26,3,8180,7,7,2013-06-08,2726,314,151
95,Cedric Ma,59,Senior Citizen,NEW,9,3,236,8,8,2014-01-11,78,26,144
96,Chad Kumar,58,Senior Citizen,VIP,26,3,8158,7,7,2013-06-25,2719,313,151
97,Andr+¬s Anand,58,Senior Citizen,VIP,27,3,8063,4,4,2013-07-30,2687,298,150
98,Edwin Nara,54,Senior Citizen,VIP,27,3,8099,5,5,2013-07-24,2699,299,150
99,Mallory Rubio,60,Senior Citizen,NEW,8,3,89,4,4,2013-10-16,29,11,147
100,Adam Ross,60,Senior Citizen,VIP,27,3,8216,9,8,2013-07-01,2738,304,150
101,Latasha Navarro,60,Senior Citizen,VIP,28,3,8172,7,7,2013-08-07,2724,291,149
102,Abby Sai,56,Senior Citizen,VIP,26,3,8262,7,7,2013-06-29,2754,317,151
103,Julia Nelson,56,Senior Citizen,NEW,5,3,103,5,5,2013-12-09,34,20,145
104,Cassie Chande,45,Mature,VIP,26,3,8182,8,8,2013-06-06,2727,314,151
105,Edgar Sara,51,Senior Citizen,VIP,25,3,8173,6,6,2013-06-15,2724,326,151
106,Candace Fernandez,56,Senior Citizen,VIP,25,3,8096,5,5,2013-06-05,2698,323,151
107,Jessie Liu,56,Senior Citizen,VIP,25,3,8079,3,3,2013-06-15,2693,323,151
108,Bianca Lin,50,Mature,VIP,25,3,8171,6,6,2013-06-21,2723,326,151
109,Kari Alvarez,57,Senior Citizen,VIP,25,3,8124,5,5,2013-06-23,2708,324,151
110,Ruben Kapoor,46,Mature,VIP,25,3,8245,8,8,2013-06-24,2748,329,151
111,Curtis Yang,59,Senior Citizen,VIP,27,3,8093,5,5,2013-08-20,2697,299,149
112,Meredith Gutierrez,59,Senior Citizen,VIP,27,3,8137,8,8,2013-08-22,2712,301,149
113,Crystal Wang,58,Senior Citizen,VIP,28,3,8295,6,6,2013-09-02,2765,296,148
114,Micheal Blanco,53,Senior Citizen,NEW,2,3,110,7,7,2013-04-21,36,55,153
115,Leslie Moreno,59,Senior Citizen,NEW,9,3,123,7,6,2013-12-26,41,13,145
116,Alvin Cai,59,Senior Citizen,NEW,11,3,114,6,6,2014-01-02,38,10,144
117,Clinton Carlson,47,Mature,NEW,7,3,149,7,7,2013-10-16,49,21,147
118,April Deng,60,Senior Citizen,VIP,25,3,8185,8,8,2013-06-25,2728,327,151
119,Alvin Zeng,64,Senior Citizen,NEW,6,3,124,8,6,2014-01-26,41,20,144
120,Evan James,86,Senior Citizen,NEW,9,2,85,4,4,2013-11-23,42,9,146
121,Beth Jim+¬nez,84,Senior Citizen,VIP,28,3,8242,10,10,2013-09-19,2747,294,148
122,Orlando Suarez,60,Senior Citizen,NEW,5,3,58,6,5,2013-11-04,19,11,146
123,Byron Vazquez,61,Senior Citizen,NEW,6,3,43,3,3,2013-08-22,14,7,149
124,Philip Alvarez,61,Senior Citizen,NEW,9,3,150,8,7,2014-01-25,50,16,144
125,Ross Jordan,58,Senior Citizen,VIP,25,3,8129,6,6,2013-06-18,2709,325,151
126,Dana Navarro,65,Senior Citizen,NEW,6,3,79,7,7,2013-07-03,26,13,150
127,Shaun Carson,72,Senior Citizen,REGULAR,30,3,4971,8,7,2013-11-03,1657,165,146
128,Jan Edwards,45,Mature,NEW,6,2,44,3,3,2013-10-01,22,7,147
129,Samantha Long,45,Mature,NEW,2,2,144,7,7,2013-08-12,72,72,149
130,Julia Wright,45,Mature,VIP,17,2,5873,2,2,2013-01-09,2936,345,156
131,Caroline Russell,41,Mature,NEW,0,1,37,2,2,2013-12-09,37,37,145
132,Amanda Rivera,41,Mature,NEW,3,5,166,9,9,2014-01-23,33,55,144
133,Melissa Richardson,40,Mature,NEW,0,1,2372,6,6,2013-04-09,2372,2372,153
134,Angela Griffin,40,Mature,NEW,0,1,72,4,4,2013-12-30,72,72,145
135,Larry Townsend,69,Senior Citizen,REGULAR,30,3,4911,3,3,2013-11-03,1637,163,146
136,Marcus Harris,41,Mature,NEW,0,1,2335,3,3,2013-04-18,2335,2335,153
137,Brianna Morgan,42,Mature,NEW,0,1,2381,3,3,2013-01-03,2381,2381,156
138,Jasmine Taylor,42,Mature,NEW,6,2,202,5,4,2014-01-20,101,33,144
139,Lauren Davis,42,Mature,NEW,3,2,79,4,4,2013-12-31,39,26,145
140,Tanya Moreno,77,Senior Citizen,NEW,1,2,84,3,3,2013-10-17,42,84,147
141,Javier Alvarez,44,Mature,NEW,0,1,40,2,2,2013-03-19,40,40,154
142,Nicole Ramirez,44,Mature,NEW,4,2,114,5,5,2013-09-28,57,28,148
143,Eduardo Patterson,43,Mature,NEW,11,17,979,36,23,2014-01-13,57,89,144
144,Jonathan Henderson,44,Mature,NEW,6,2,48,5,4,2013-12-19,24,8,145
145,Edward Hernandez,41,Mature,NEW,0,1,2400,3,3,2013-01-25,2400,2400,156
146,Jasmine Coleman,41,Mature,NEW,0,1,2310,3,3,2013-01-25,2310,2310,156
147,Karla Goel,81,Senior Citizen,NEW,7,3,113,7,6,2013-09-15,37,16,148
148,Ernest Wu,82,Senior Citizen,VIP,29,3,8195,7,7,2013-10-16,2731,282,147
149,Ross Vazquez,79,Senior Citizen,NEW,9,3,126,6,5,2013-12-03,42,14,145
150,Theodore Gill,80,Senior Citizen,NEW,5,3,41,4,4,2013-11-29,13,8,146
151,Russell Shen,80,Senior Citizen,NEW,4,3,192,8,7,2013-07-15,64,48,150
152,Melinda Gill,79,Senior Citizen,VIP,29,3,8087,6,6,2013-10-20,2695,278,147
153,James Williams,45,Mature,NEW,0,1,2295,1,1,2013-01-09,2295,2295,156
